Wallet name,Address type,address
system-storage-prod,EVM,0x5770815B0c2a09A43C9E5AEcb7e2f3886075B605
system-storage-prod,EVM,0x28cC933fecf280E720299b1258e8680355D8841F
system-storage-prod,NEAR,dc6b4c8821dbe652b763e3bfadfea548137b29b97408c8b411ad72acff94e63f
system-storage-prod,NEAR,034e29f9703726c1f7b955fa5f7b16f6293adec615f668a73bc3b3b0255392df
system-storage-prod,Polkadot,1xXbYy1V5Sc3EQZ76wmcWy4gXTSyLbzgdDNJtGT6jEcL2z7
system-storage-prod,Polkadot,12xHzb3NT4e8MAWwJUGfhTD7R41Abyfa3NdYDGqqL3V64PLG
system-storage-prod,Solana,2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd
system-storage-prod,Solana,DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3
system-storage-prod,Aptos,0x572a9fa8d49e2739e33bbb58a9187ca1d1d8600a876b329e33b97a2ed1930181
system-storage-prod,Enjin,enFxn4GmgeAcmCoMsv2Yo9Yw1twJqb8XmPU92dvmPGKG8kJqg
system-storage-prod,Sui,0x6519c8ae706b6d59a88684213c18e80f6fac4251a55c9d1fab9cf9f192ad2641
system-storage-prod,Bittensor,5EZsiQoortPKKaDrh9EMKYgXArE9zyPYnGDthDWnGWzXHWuy
system-incoming-prod,Bitcoin-Legacy,18DowXoMUQT5EU8zPTDTrq4hrwmi8ddCcc
system-incoming-prod,Bitcoin-Legacy,1J2xea7M6N2XiQCuN4TuiLPV1TQ2eAwzoa
system-incoming-prod,Bitcoin-Segwit,bc1qfu6su3qz4tn0et634mv7p090a0cgameq6rdvuc
system-incoming-prod,Bitcoin-Segwit,bc1qhtvsrdu6a8jddqjnudugvzhqwdg8kdyjf2yfl6
system-incoming-prod,Ripple,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq
system-incoming-prod,Ripple,rwh2r5ESARRSymmKhxhaXb8Eae7aTWvYwc
system-incoming-prod,HederaHashgraph,0.0.686122
system-incoming-prod,HederaHashgraph,0.0.9167857
system-incoming-prod,Cardano,addr1qxqut96hxv5zxmhcgspmnq9tuaf6xglvq6tdv8jm5zltatv5hnm8tps2jw73pherd4l9yuuetxlp6gkeufq5p6ftjswssk33fx
system-incoming-prod,Cardano,addr1q9sea30p9wqy9ad2h3klpwhxudd45fvqfe5mqpcfdh8afycx8tzdkudm7udv9uvfz6epmqdnucud9jv6twpu338mqymqdcphs3
system-incoming-prod,Cardano,addr1qy2muwyr7edegpw4ywn50jnzw7kkpxjw7rjsuf27ws668yswdttyth96zpsjwfuf6m9x2ccgwz0p0864uvavs3qtfkgsaa2jy3
system-legacy,EVM,0x94596096320A6B4EaB43556AD1Ed8c4c3d51C9aA
system-legacy,Bitcoin-Segwit,bc1qutkfwnuq4v0zdkenqt5vyuxlrmsezldzue5znc
system-legacy,Bitcoin-Legacy,1Mgs8zLJ7JyngcNRUscayyPHnnYJpJS5x2
system-legacy,Ripple,rJCv19Du7VXqSuaYhaB3WpLRScTMpS7c52
chsb-treasury,EVM,0x5cEDc1923c33B253aedf24bF038eeE6Cbbb68A6A
chsb-treasury,EVM,0x42b86A269fb3d5368D880c519BadABa77eC00130
system-outgoing-prod,Bitcoin-Segwit,bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9
system-outgoing-prod,Bitcoin-Segwit,bc1qv20znwswjzrqffjdkfl2ydahs8439d57r8ctrd
system-outgoing-prod,Bitcoin-Legacy,1JgXCkk3gjmgfgjT2vvnjpvqfvNNTFCRpM
system-outgoing-prod,Bitcoin-Legacy,19zShA6yNj4xf6TF3kQLozfNW3dwEbFikY
system-outgoing-prod,EVM,0x87cbc48075d7aa1760Ac71C41e8Bc289b6A31F56
system-outgoing-prod,EVM,0x85AC393adDd65bcf6Ab0999F2a5c064E867F255f
system-outgoing-prod,Polkadot,15Fg7p6pzLo6uinCFdsx3HTWdAx4vFt8nnw2E3JWHHwh9NCn
system-outgoing-prod,Polkadot,157zgQi6M5tn8U2aRQNh5tG7rj9Lif76xPxJnmJcfmbCGsQ3
system-outgoing-prod,Solana,2XxP4kS2vfkiMvpLpGNxry3fPUYimsuAmSbqL1KnuwZ8
system-outgoing-prod,Solana,Fe7SEekiKygziaEGKxsDsgLVzrCfNvVBvAYsaJBwFA8s
system-outgoing-prod,Solana,J6wLEPrT8Jd2NiNSJAQwxdK7FDtDssawsMtLqkZ5E1ZP
system-outgoing-prod,NEAR,1c0dc521827821f1695538ff9312df15f32837bbfe95bc937f9faaafd4125552
system-outgoing-prod,NEAR,c298ef5c3754dbcb6c23b481b514641f91d46845a256be4fd6ad742d5f3c251c
system-outgoing-prod,Ripple,raFmDg78SG5AxPjXyRFnsy7zYujZGpJsVq
system-outgoing-prod,Ripple,r9EUpQ9E9u2FUa49AYHbdkagpRza75jWbN
system-outgoing-prod,HederaHashgraph,0.0.686123
system-outgoing-prod,HederaHashgraph,0.0.9167915
system-outgoing-prod,Cardano,addr1q9vrcmu4sr7yrspknu8gwrzgrs6wuh0e6pkk9tyz2clg9llt77jyl7422xv72h9mc9kmsgvajssj4a4cpsv07n4e5lpqkfe9ft
system-outgoing-prod,Cardano,addr1qxfcqh0yylf0zan0s4c6a2pt5jkulryqjfjrn8vll253m3skcrtekcs32m5d3nqvrayrmngkv6zz5zkvtldrllprshzqk0z64f
system-outgoing-prod,Cardano,addr1qygcz8flfwuzwtqxk58chs8g5htsghxyk7ltkt4rlp0c4h98heedkjaf00sg4ec4lh9vlsw988d58t207a86jp00npvspv7zpu
system-mex,Solana,MEXkeo4BPUCZuEJ4idUUwMPu4qvc9nkqtLn3yAyZLxg
system-dex-prod,Solana,EcGfuxwkM3ujBWaty5VW7H9mjJLd7LkY3m7nJZ6Sv7Sy
system-dex-prod,Solana,C57RBagtGDYpTGxwG92gSKQ5ptQr4Wa9qz3yDBB6uu1B
system-defi-earn,EVM,0xcDE4c1b984F3F02f997ECfF9980B06316de2577d
system-defi-smartyield-legacy,EVM,0x6cf9aa65ebad7028536e353393630e2340ca6049
system-defi-smartyield,EVM,0x7153D2ef9F14a6b1Bb2Ed822745f65E58d836C3F
defi-staking,EVM,0xff4606bd3884554cdbdabd9b6e25e2fad4f6fc54
defi-staking,Solana,Cet3t77x2BBVSmiEFm8ZPoDSngbpso2RuWPL79Ky7SpA
defi-staking,NEAR,9b23bfd45a028e7a28326007b221cf8bd8b288630dde5ca714a0524f4865db89
defi-eigenlayer,EVM,0x22bF0A4C4eff418b3306AbFeE20813D0b6E8Dc74
defi-staking,Solana,9qoUcyhKSWMbk6tqGUYQUpeosPcdUnJszG4eQKwfe4gL
defi-staking,Cosmos,cosmos10dfzd2wpnpeuy2lgan35ah8dg5p4l298v0n8e8
defi-staking,Cardano,addr1qyy6n8xnyzulrax4mt0d5kdy93qm43qg4wxy09dw6apdxpqzldjpstc72lsna3krj6damxt32gw9jllr4q3u7mhg7jhs5u7jhd
defi-staking,Cardano,addr1q8n8jmkaqfwnw9f6f6cwex5uv9vl606s9945qp2t2ffrzypdlx09ue7ha5jvmda4re0pexpl9pshqjx8a8eqfs0kya8qg8hsat
defi-staking,Polkadot,15mENJiKxtbxE2PNcB8qTaatYKjFTN4kitEzZ5eiHFGW3DVU
defi-eigenlayer,EVM,0x11444C6389A26C8E41d7FD5CafBfCC511303b7d3
defi-eigenlayer,EVM,0x67FE3293FC4e877F3CDc3F0ed93721a600f72BdE
defi-staking,Celestia,celestia1r9s5kxn8hs887w0uwwpun43hlvvapmduz9my9s
defi-earn,EVM,0x178Fb204c1ff2Ed7d0651C522A3a5B15480Eb76d
defi-earn,EVM,0xFbA64167e4f091Ca625FA79aa6f83665856f8Bf2
defi-earn,EVM,0x8F0d8b27bF808976Fa94f03e2230b4bca95bf3C4
defi-earn,EVM,0xe2484A7Ac1b9Cb6D8E55fd00e129aB913172bea6
defi-earn,Solana,8V51vSJGYssywpKHrZacT3bpFYoeA1oD7hdvi1imnrVa
defi-earn,Solana,CxbHK9geAiCc6yBVT7PhXEMXzwP7BGh8VB1TgbDV3uLq
defi-staking,Injective,inj1wvhk7xhzf9kus9a4tpa6v8vhuqvm265rz7zd6n
defi-earn,EVM,0xdbe15F6573108B6736c70779C683Ca633c18aFe2
defi-earn,EVM,0x5509Be53b2dD0CD6fb8473B0EdA94e0a3059b73a
defi-earn,EVM,0x9531AA9883bF11f2a63d86caD7e826f37Acec3c4
defi-earn,EVM,0xa2E07DB4e92F66071Ca68984517972F5625AB325
defi-earn,Solana,3jvARuePRR6KpNAeYYGRQzs8W4VYsWWxe4BfoTSTZhUr
defi-earn,Solana,281BKbWX8f9XqexpmFGTGcrAzPbFtoSiBjTHUkVHQmtv
